DistrictCode,DistrictName,Total,Electricity,Kerosene,Solar,OtherOil,AnyOther,No,Eper,Kper,Sper,Nper
1,Kupwara,"96,737","74,011","10,767","2,939","1,121","4,759","3,140",76.51,11.13,3.04,3.25
2,Badgam,"86,083","77,328","5,752","1,394",87,"1,144",378,89.83,6.68,1.62,0.44
3,Leh(Ladakh),"14,590","11,130",708,"2,623",15,45,69,76.29,4.85,17.98,0.47
4,Kargil,"15,442","13,068",514,"1,810",8,8,34,84.63,3.33,11.72,0.22
5,Punch,"81,670","55,857","19,213",234,207,"1,689","4,470",68.39,23.53,0.29,5.47
6,Rajouri," 1,17,183 ","89,328","21,528",387,313,"1,181","4,446",76.23,18.37,0.33,3.78
7,Kathua," 1,00,283 ","92,022","7,252",93,62,74,780,91.76,7.23,0.09,0.77
8,Baramula," 1,19,791 "," 1,12,637 ","4,044",301,118,"1,543","1,148",94.03,3.24,0.24,0.92
9,Bandipore,"47,620","36,709","5,500","1,995",219,"1,123","2,074",77.09,11.55,4.19,4.36
10,Srinagar,"2,690","2,651",14,0,0,2,23,98.55,0.52,0.00,0.86
11,Ganderbal,"36,626","32,150","1,522",129,126,"1,608","1,091",87.78,4.16,0.35,2.98
12,Pulwama,"71,063","63,682","4,093",487,97,"2,229",475,89.61,5.76,0.69,0.67
13,Shupiyan,"39,486","32,827","4,744",356,76,"1,050",433,83.14,12.01,0.90,1.10
14,Anantnag," 1,09,465 ","82,740","18,672",351,313,"4,777","2,612",75.59,16.80,0.32,2.35
15,Kulgam,"56,316","36,078","17,625","1,018",71,"1,081",443,64.06,31.30,1.81,0.79
16,Doda,"72,580","55,848","8,362",651,196,"3,518","4,005",76.95,11.52,0.90,5.52
17,Ramban,"52,261","32,319","14,558",196,183,"2,125","2,880",61.84,27.86,0.38,5.51
18,Kishtwar,"41,968","21,539","6,137","4,564",406,"4,507","4,815",51.32,14.62,10.87,11.47
19,Udhampur,"77,104","57,792","14,080",156,195,"2,753","2,128",74.95,18.26,0.20,2.76
20,Reasi,"49,914","26,894","18,296",298,72,"2,077","2,277",53.88,36.66,0.60,4.56
21,Jammu," 1,55,851 "," 1,50,235 ","4,424",247,62,370,513,96.40,2.84,0.16,0.00
22,Samba,"53,197","51,682","1,319",31,22,47,96,97.15,2.48,0.06,0.18
